epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,192.338,0.64737,0.30626,0.928,0.99838,1,0.995,0.7557,0.95199,0.32983,1.1976,0.000212349,0.000212349,0.000212349
88,194.551,0.65545,0.30699,0.93918,0.99833,1,0.995,0.7651,0.91819,0.32245,1.17287,0.000198202,0.000198202,0.000198202
89,196.746,0.65443,0.3055,0.93644,0.99837,1,0.995,0.75586,0.9354,0.34181,1.1975,0.000184055,0.000184055,0.000184055
90,198.954,0.64281,0.30294,0.92154,0.99834,1,0.995,0.76305,0.92522,0.33698,1.17601,0.000169908,0.000169908,0.000169908
91,201.885,0.63286,0.28544,0.89532,0.99847,1,0.995,0.75158,0.95035,0.34176,1.19889,0.000155761,0.000155761,0.000155761
92,204.071,0.62125,0.29193,0.88704,0.99826,1,0.995,0.76537,0.93778,0.34708,1.18521,0.000141614,0.000141614,0.000141614
93,206.268,0.61463,0.28006,0.89129,0.99829,1,0.995,0.75919,0.94035,0.34852,1.18425,0.000127467,0.000127467,0.000127467
94,208.444,0.62684,0.28099,0.88975,0.99845,1,0.995,0.76723,0.93531,0.34958,1.17875,0.00011332,0.00011332,0.00011332
95,210.731,0.61223,0.2776,0.88998,0.99842,1,0.995,0.76142,0.9368,0.34614,1.18057,9.91726e-05,9.91726e-05,9.91726e-05
96,212.969,0.59602,0.27173,0.88951,0.99836,1,0.995,0.75853,0.93909,0.33781,1.19188,8.50255e-05,8.50255e-05,8.50255e-05
97,215.149,0.60334,0.27486,0.88714,0.99826,1,0.995,0.76394,0.94252,0.33679,1.19079,7.08784e-05,7.08784e-05,7.08784e-05
98,217.329,0.59598,0.26843,0.89117,0.99835,1,0.995,0.75806,0.93935,0.34461,1.18836,5.67313e-05,5.67313e-05,5.67313e-05
99,219.505,0.60031,0.26997,0.89135,0.99838,1,0.995,0.76293,0.94167,0.3421,1.19043,4.25842e-05,4.25842e-05,4.25842e-05
100,221.697,0.59065,0.26597,0.8873,0.99835,1,0.995,0.75402,0.94374,0.3407,1.19136,2.84371e-05,2.84371e-05,2.84371e-05
